"Ano","Resposta","Tamanho_Amostra","Latitude","Longitude","Tabaco_Mascavel","Ja_fumou","Fuma_regularmente","Masculino","Ensino_Fund"
2010,2.1,1280,40.130570048,-74.273691288,1,0,0,0,0
2005,19.7,1562,39.360700171,-111.587130635,1,1,0,1,0
2012,1.5,1193,41.641040988001,-99.365720623,1,0,0,0,0
2006,1,899,44.393191174,-89.816370742,0,0,1,1,1
2001,22.9,2569,40.130570048,-74.273691288,0,1,0,0,1
2015,0.2,975,40.130570048,-74.273691288,0,0,1,1,1
2010,6.8,883,44.393191174,-89.816370742,0,0,1,0,0
2004,11.5,691,44.393191174,-89.816370742,1,0,0,1,0
2007,11.1,728,38.665510202,-80.712640135,0,0,0,1,1
2003,11.3,1251,39.360700171,-111.587130635,0,1,0,1,1
1999,18.2,710,32.745510099,-89.538030825,1,0,0,1,0
2008,10.3,664,40.060210141,-82.404260056,0,0,1,1,0
2015,3.4,1034,40.793730152,-77.860700294,0,0,1,1,0
2009,49.2,842,35.472031356,-97.521070214,0,1,0,0,0
2009,22.3,950,47.475319779,-100.118421049,0,0,0,0,0
2006,14.1,1646,39.766910452,-86.149960194,1,0,0,1,0
2004,1.8,844,44.393191174,-89.816370742,0,0,1,1,1
2016,13.3,1143,44.353130053,-100.373530637,0,1,0,0,1
2011,4.2,1112,32.839681093,-83.627580346,0,0,0,0,1
2006,8.5,667,33.998821303,-81.045371207,0,0,0,0,1
2008,0.1,937,44.393191174,-89.816370742,1,0,1,0,0
1999,1.5,1649,41.641040988001,-99.365720623,1,0,0,0,1
2007,15.6,1082,41.56266102,-72.649840952,0,1,0,1,1
2013,48.4,723,33.998821303,-81.045371207,0,1,0,1,0
2005,6.5,618,33.998821303,-81.045371207,1,0,0,1,1
2010,18.2,871,39.008830667,-75.577741168,1,1,0,1,0
2008,1.1,742,44.393191174,-89.816370742,1,0,0,0,1
1999,0.5,4153,40.130570048,-74.273691288,1,0,1,0,1
2012,0.3,822,32.745510099,-89.538030825,1,0,1,0,0
2009,35.8,967,47.475319779,-100.118421049,1,1,0,1,0
2003,0.2,1899,44.661319543001,-84.71439027,1,0,1,0,1
2006,15.2,1423,41.641040988001,-99.365720623,1,0,0,1,0
2008,1,837,40.060210141,-82.404260056,0,0,1,0,1
2006,0.2,2064,40.130570048,-74.273691288,1,0,1,0,0
2009,7.8,1034,32.839681093,-83.627580346,1,1,0,0,1
1999,14,2935,35.466220975,-79.159250463,0,0,0,0,1
2007,10.1,741,38.665510202,-80.712640135,1,1,0,0,1
2001,7.5,1422,32.839681093,-83.627580346,1,0,0,1,1
2005,18.5,977,41.56266102,-72.649840952,0,1,0,0,1
2006,49.3,1585,39.766910452,-86.149960194,0,1,0,0,0
2002,17.6,814,42.27687047,-72.082690675,1,1,0,1,0
2002,5.2,1232,39.008830667,-75.577741168,1,1,0,0,0
2015,1,1198,41.56266102,-72.649840952,0,0,0,0,1
2002,1.5,1024,35.472031356,-97.521070214,1,0,0,0,1
2003,4.9,1196,41.708280193,-71.522470314,1,1,0,0,1
2001,53.6,2030,28.932040377,-81.928960539,0,1,0,1,0
2004,1.1,853,43.625381239,-72.517640791,0,0,1,0,1
2008,10.5,1120,46.355648736,-94.794200503,1,1,0,1,1
2001,10.7,1278,31.312660644,-92.445680071,1,1,0,0,1
2010,14.3,768,40.060210141,-82.404260056,1,1,0,1,1
1999,6.5,619,35.68094058,-85.774490914,1,1,0,0,1
2012,7.7,683,32.840571122,-86.631860762,0,0,0,1,1
2000,32.5,704,32.840571122,-86.631860762,0,0,0,1,0
2013,0.5,1932,35.466220975,-79.159250463,1,0,1,1,1
2009,6.2,1667,44.353130053,-100.373530637,0,0,0,1,1
2001,64,1584,44.661319543001,-84.71439027,0,1,0,0,0
2015,1,1242,41.56266102,-72.649840952,1,1,0,1,1
2000,64.3,599,44.393191174,-89.816370742,0,1,0,1,0
2003,30.2,653,38.635790776,-92.566300053,1,1,0,1,0
2013,14.3,832,32.839681093,-83.627580346,0,0,0,1,0
2016,9.2,608,44.393191174,-89.816370742,0,0,0,1,0
2008,45.3,1370,37.645970271,-84.774971048,1,1,0,1,0
2005,12.8,660,35.472031356,-97.521070214,1,1,0,0,0
2000,32.8,667,39.766910452,-86.149960194,0,0,0,1,0
